"","HD10","HD1","HD2","HD3","HD4","HD5","HD6","HD7","HD8","HD9","Pz111","Pz12","PZ148","Pz15","Pz16","PZ178","Pz25","PZ285","Pz28","PZ387","PZ390","PZ409","PZ49","PZ55","PZ69","Pz7","PZ90","PZ93","PZ94","PZ95"
"Q6EMK4",-0.607255,-0.739817,-1.309701,-0.7566515,-0.726593,-3.09433,-0.121680645,-0.718176,-0.730654,-0.428086,-1.1664725,-2.618495,-1.115205,-2.0252,-0.5393815,-3.11769,1.14733,-2.776255,0.95092,-2.46989,-5.254485,-3.52884,-0.534575,0.592328,0.105112,-1.695345,-0.963119,-2.735545,-0.7388205,-0.5231795
"Q6LAM1",4.40865,3.9993425,3.78381,4.471075,4.28628,2.93991,3.33835,4.11627,3.643935,4.022325,4.2302,3.220155,4.595935,3.672235,4.734635,3.98941,4.553405,1.98272,5.61314,1.51671,2.46923,1.007978,4.184635,5.687575,3.44575,5.227765,4.17188,3.5471,4.62255,4.89719
"Q6UXB8",-1.092047,-1.657226,-2.698515,-1.592285,-0.3858675,-1.783335,-6.267205,-2.23566,-2.9529,-1.95677,-4.65057,-5.87378,-4.05149,-4.32668,-4.981545,-3.40957,-5.262755,-6.85052,-1.485155,-5.29582,-5.47246,-5.279305,-3.9813,-2.24617,-2.43201,-3.31668,-4.1896,-6.5973,-2.816075,-4.50137
"Q86UX7;F5H1C6",1.211325,0.616845525,-0.1678595,0.3365955,-1.92996,-3.51505,0.439841,0.9158775,-1.2783345,-1.481855,-1.923705,-3.44545,-0.1523585,-3.016405,-1.3331,-0.503341,-3.059625,-5.766985,-1.48327,-3.581555,-4.612375,-6.26935,0.1519415,0.654125,-3.205615,1.5426,-0.8970625,-4.460495,-3.5673,-3.8682
"Q92496;A0A0C4DH21",-1.289445,-1.220475,-3.764655,-2.23253,-1.578645,-2.5718,-4.280725,-1.73726,-1.259245,-0.8159145,-2.77214,-4.471755,-1.44111,-1.41325,-1.191415,-2.545755,0.02056645,-2.881955,-0.383263,-6.346715,-5.701885,-5.46097,-4.032285,1.1361725,-3.97934,-1.21328,-2.460135,-3.05678,-2.21483,-3.315445
"Q96IY4;A0A087WSY5",1.411765,1.22648925,0.9334905,2.5842,2.01804,0.8344405,0.689486,1.1640425,0.9707945,1.58908,0.4723065,1.705305,2.16541,1.43685,2.3901,1.784005,2.496435,-0.5842345,2.86809,-0.6351215,-0.07541965,-2.59606,3.1038,3.58168,3.04233,3.521905,2.274305,1.157474,1.109585,2.894335
"Q96PD5",3.940435,3.994565,4.4187,4.769595,4.68754,2.699025,3.881555,3.879955,3.826975,3.93678,3.662,2.703055,3.45465,2.4064,3.577775,2.684445,3.37671,2.004975,4.62066,2.79351,3.649505,2.80766,2.5749,4.523105,3.153925,3.36394,3.73177,2.864165,3.732645,4.113225
"Q9BWP8",-3.405385,-2.9005325,-2.060345,-2.39928,-3.61996,-5.2203,-3.04321,-2.265805,-2.876505,-6.333245,-1.737425,-1.69287,-2.40404,-2.122535,-2.99113,-2.329225,-2.6962,-6.28139,-0.6537085,-5.063595,-6.754385,-5.726525,-2.53404,-0.7980315,-2.367985,-1.2082,-1.98823,-2.64882,-2.50018,-1.606885
"Q9HDC9;H0Y512",-2.00157,-2.400115,-4.003415,-1.30594,-1.131204,-5.41913,-4.54498,-2.87082,-2.801175,-2.263875,-5.52064,-1.23305,0.330875,-0.913099,-0.2139695,-0.02465585,-1.0375695,-3.7453,1.28615,-5.769705,-4.92792,-6.583155,-0.078848,1.60278,0.05394365,-1.15636,-0.712854,-1.8913,-0.7654805,-0.07027375
"Q9NZP8",1.14583,0.882292,-0.372401,-0.292435,1.118326,0.124929,0.3214355,0.6608745,0.6753645,-0.1522015,1.379475,0.0391779,0.622088,1.1592025,1.170575,0.5891795,1.69163,0.0420385,2.16518,-0.4922065,-0.899233,-1.335635,0.070784,1.8531,1.030274,2.0211,1.73837,-0.17422915,1.0202585,1.24713
"Q9UGM5;Q5J875;E9PG08;B7Z8T3",0.61201,0.79472125,0.6581435,1.384025,1.41473,2.412305,-0.870469,1.237325,1.13305,0.5100445,1.34217,0.0381605,0.4300245,-0.921462,1.1654565,0.853106,0.5538745,-0.0942388,1.03117,-0.7776935,0.493046,-2.4435145,1.18579,1.625355,-2.09736,0.4489215,0.603904,-0.0805125,1.254825,0.8129175
"Q9Y490",0.7816465,-0.08011875,-0.1290052,0.16751125,-1.78145,-6.146245,-1.027753,1.28907,-1.36344,-2.002255,-2.67547,-3.35846,0.3373965,-2.25034,-0.844983,0.617724,-4.62328,-5.79567,-1.66152,-3.788665,-3.4101,-8.02514,0.0877445,1.27042,-2.950375,2.163435,-1.63288,-5.71903,-3.070935,-3.94613
"L8E853",-4.44532,-3.9893905,-5.8499475,-4.21133,-3.8736775,-5.9472925,-4.395385,-4.7170125,-3.42877,-3.7237275,-2.62031115,-3.301573,-0.3228025,-1.32097,-1.518935,-1.4469675,0.3941475,-3.9433125,-0.31535,-3.277644,-5.637755,-5.5439025,-1.20371025,0.5836,-0.1098,-1.9636725,-1.43469,-2.33286675,-1.9692375,-0.9147
"B4DUV1;B1AHL2",0.63245375,0.674707625,0.4222355,0.58652625,1.83149575,-0.89052575,0.02685625,0.54110425,0.51555075,0.15938075,0.93439175,-1.356089,1.04330065,0.869067,1.070478,-1.40981,1.76505275,-0.45592575,1.34949425,1.1665845,-0.40835675,-0.860914,0.2887265,2.014668,1.13607525,-0.72553,-0.3253145,-0.6940825,0.66208,1.602891525
