"","CTRL.1","CTRL.2","CTRL.3","CTRL.4","CTRL.5","CTRL.11","CTRL.12","CTRL.13","CTRL.14","CTRL.15","CTRL.16","CTRL.17","CTRL.18","CTRL.19","CTRL.21","CTRL.22","CTRL.24","CTRL.25","CTRL.26","CTRL.27","CTRL.28","CTRL.29","CTRL.30","CTRL.31","CTRL.32","SARS.COV2.1","SARS.COV2.2","SARS.COV2.3","SARS.COV2.5","SARS.COV2.6","SARS.COV2.7","SARS.COV2.8","SARS.COV2.10","SARS.COV2.11","SARS.COV2.12","SARS.COV2.13","SARS.COV2.14","SARS.COV2.15","SARS.COV2.16","SARS.COV2.17","SARS.COV2.18","SARS.COV2.19","SARS.COV2.20","SARS.COV2.21","SARS.COV2.22","SARS.COV2.23","SARS.COV2.24","SARS.COV2.25","SARS.COV2.26","SARS.COV2.27","SARS.COV2.28","SARS.COV2.29","SARS.COV2.30","SARS.COV2.31","SARS.COV2.32","SARS.COV2.33","SARS.COV2.34"
"A0A024R0T9",-0.783084035266539,-0.172986093010301,-0.580603095829758,-0.598741140292279,-1.44816882788332,0.588888313168382,0.484972419280868,-0.594758290378559,-0.288831606944376,-1.03949544033718,0.345139210407775,-0.061760877084428,-0.893814338075578,2.99465959185482,-0.999291299215826,-0.849772880781655,-0.554580341582159,-0.757042937020338,-0.500779291335633,-1.00610102256938,-1.06031958034988,-0.939054012238636,-0.817262020565964,-0.461919228814322,-0.685900107732117,0.86406651906744,1.89323913035591,-1.12123128455283,0.830990415359686,1.21535345975639,0.319126694126191,0.135549022684955,2.1535265778184,0.00735504578348039,-0.530684226069115,-1.25056462758974,2.09104448208245,-0.294707285750946,0.757983058009153,0.434425425706004,0.00788346071130002,0.244039202303206,0.403627046871997,0.226886439073421,-1.05225091516629,1.6832566434548,-0.551869553088781,-0.332909307106547,0.699959163057483,0.407792071668391,-0.883926665122515,0.434425425706004,-0.816566869701931,-0.524748665703888,2.50531972384299,0.490955350738271,0.233261974271033
"A0A087WT59",0.104545287985149,0.812510256006228,0.225525336025272,-1.00558705751704,0.506114281369288,-0.197728846818743,-0.100362292794365,-0.156899525133422,0.396081541441042,0.118635565656647,2.4069917205439,-0.103604223189918,-0.034142835217091,1.14631916624676,-0.0469702628550101,-0.0776675528156834,-0.664606213804439,0.868737617866947,0.497191954675388,-0.133188962230211,-0.255988689712978,-0.546422158793271,0.717877669781396,0.251356193642107,-0.0924864181366316,-1.0351170664085,-0.181366458352732,-0.514862396001227,-0.00966301629472131,2.68587460562067,-0.516955538697691,-1.55991917983055,1.18483518038586,0.688058397309753,-0.395251334599117,-0.461037160997108,-0.721107499122659,0.0757648656666509,-1.19909188194202,-1.18251943606264,-0.799199495789565,-0.516077112138722,-0.609915335676926,4.26397154078191,-0.79888456307074,-0.768043860007497,-0.414847250482363,-0.271696464010067,-0.343331820081352,-0.862249888554064,0.842501644654451,-0.630984448764992,-1.02340048523288,-0.38758481852694,-0.361999573318952,1.68884195077612,-0.500973653452713
"A0A087WU08",-0.752926436446831,-0.567340809964726,0.829596199939213,0.13128757222598,-0.47926787029967,-0.165134647337645,0.2932715403494,1.52212165180847,1.43300224626274,0.690421621803065,-0.563453219696895,-1.25139490352759,-0.868286405582559,-0.06379941619784,-0.146934667799947,-0.113835954694562,-0.827861975041783,-1.28411180934594,0.0165808366666094,1.03543987864206,-0.719636308674794,0.710335207927467,1.24817731422248,-1.19952654784196,-0.841355741747,-1.08536436218809,-1.39388282793161,-0.205558840617679,1.05547094533561,-0.817847381612564,1.75757251453127,2.8397172276324,-1.09944496596344,-0.498300142270945,-0.256874962799916,-0.426352464706921,-0.909283893819581,1.26313612951048,-1.05365493848535,0.747958884908951,0.896034391051058,-1.21014575464617,0.118135917260504,-0.894876764510185,-0.891054694708913,1.00302131908188,-0.920386930030058,-0.16400156303516,0.536105391600646,-1.20324721605209,0.832152045659849,1.45829166803803,1.01226096417388,1.66999331447119,-0.155637829851688,1.05148197172746,-1.1207845074006
"A0A087WW43",-0.924237853876957,-0.141894117781068,-0.744888616256176,-0.763914403794811,-0.748371636173275,-0.763563998754315,-0.798614708776035,-0.582965302736705,0.0971674788766548,-0.786460323876195,-0.746989809411634,-0.854222411416268,-0.745898698217572,-0.919038993567381,-0.783536776790745,0.130306579405604,-0.851497726149917,-0.727643616204901,0.0362075170741672,-0.850319091013701,-0.761536412306392,-0.586710585208386,-0.821489694138168,-0.794553659714463,-0.781326410661504,1.64587054320168,0.344028293814382,2.74325531735767,4.2713491221164,-0.371528179708464,0.301621242845394,0.733526227809645,0.309040056712503,0.228935856241185,1.48338837539432,-0.245221234479972,1.41985558081876,-0.139908592308881,0.116203472387344,-0.700872732965331,0.236588170377998,0.165437081572469,-0.663441557280148,0.161089028205882,0.737585730511816,0.329100358691087,-0.374976561174959,0.167539202543568,0.808110853031409,0.768292407701395,-0.967870858579863,1.41911549320896,1.65108703200844,0.27215412735247,0.160616460772626,-0.597875300090937,-0.196101746618716
"A0A087WWY0",1.40637354638725,-0.12248234604821,0.686972499536062,-0.0863990371005878,-0.0966347200820489,-0.171850387689119,-0.938735475293935,-0.189353549955302,-0.635395451974795,-0.402222551356355,-0.588613039137807,2.33940152603092,-0.292504403132368,-0.0974200813714586,-0.102099044494578,1.7932404964001,-0.186064849555899,-0.109642266437897,-0.682940127239741,-0.0355367878594228,2.17451752194126,0.139356241633685,-0.116566150158502,0.468164203383848,-0.117188375738898,-0.404790856014186,-0.243617106545454,-0.726120561368867,3.4662549394863,-0.46317900305258,-0.756993633379945,-1.10136878407074,-0.481799572741563,-0.534810016097878,-0.476622540418358,-0.541775766504867,3.32160553802967,-0.491027567892127,1.23128417657179,-0.441773576879643,-0.870495663845739,-0.622636218379569,-0.526312522440772,-0.517754394272351,1.50859322671198,-0.25693360017324,-0.503580355413115,-0.478682670124218,0.116738125234453,-0.406676300580306,-0.870266118910047,-0.713834854433432,-0.489761461548722,-0.833517274016804,1.0784289045839,-0.462448501559122,-0.542503380640643
"A0A087X0I2",0.792329543164065,1.22621542187706,0.154287570246876,-0.952963970053307,0.668847905326718,1.1673388085491,3.70106552200442,0.0648149125168609,-0.739516413925388,0.220764848017521,-0.94049160076741,-0.816596300734333,-0.262102516648345,0.232700150931346,0.703731042867903,1.63338723460682,-0.707106880155572,0.0777735975395372,1.03461450062687,-0.508964291052456,-0.785909973623182,-0.946229271713868,0.860544451458143,-0.0317747650051247,0.154331554130796,-1.09249349298717,1.64233056497968,-0.116137991231874,-0.362680125669848,1.48402473156705,1.33000599129355,-1.45106222362369,-1.06979228864009,-0.271796956423527,-0.550928833904705,-0.0665450046418355,-1.07873187949245,-0.240518538567304,1.47142628701874,-0.714923012207739,-0.258015933036717,-0.998264699404482,-0.254148912699878,-1.45106222362369,-0.767412168385102,1.94226165545512,-1.15889224082741,-1.12453530724162,0.0545563393641191,-0.925182538077303,-0.363633703396122,0.0410114399857202,-0.328383558629195,-0.235765786090318,-0.344526000172517,0.440106066518268,0.818619262607296
"A0A087X1N7",-1.83246053055897,-0.666363352737699,-0.955328410419249,-1.06776058255705,-0.621799961766383,-0.975410251316391,-1.11358725636137,-1.07902122436163,-0.833399836295384,-0.904470386021388,-0.694373382448898,-0.674008391951254,-0.961927974184795,-1.58416011165721,-2.34212981146258,-0.587734886752142,-1.04854997119991,-1.05493172758046,-0.076519173415016,0.902873513982929,-0.559746637779443,-0.609384940821295,-0.750262757440294,-1.05227447748344,-1.02306650715473,0.752586418331864,0.419014408201998,0.528223031041772,1.16975290282532,0.822284781532358,1.08099639343719,0.799218979460695,1.18946447116796,0.99883944781461,1.16064855413226,1.97459475188303,0.352082198791023,-0.461232357543245,0.436722148602624,0.875996082673739,0.564814671722032,1.19366815369849,0.369354324421646,0.857003278701605,0.447830325237702,1.0822378955317,1.124710335607,0.761777889978929,0.769205121807482,0.78440807728059,-1.81067979205881,0.54198845777387,1.16759660971381,-0.400965054113317,0.914940043112015,0.926091781224094,0.772624697752006
"A0A087X232",0.771203634503559,-0.738053988310505,-0.461847582460654,4.18722823768481,-0.40627901071056,-1.16287238734657,1.17414083475983,0.148757916998607,-0.745289285807525,0.568799219666709,-0.320186405360951,-0.25672709407449,-1.30071439172746,1.09455999715754,0.0613047313679203,-1.18260569278071,-0.4754976031523,-0.285700762683026,-0.19535228412749,-0.618537752041052,1.67751406003868,-0.917890066325121,-0.802508006262051,-0.794281132569388,-0.371868107990554,-0.716522619490819,-0.718632555894492,0.890780523618444,0.705077163252811,0.938462268918976,-1.13896616614671,0.0121074475489487,-0.8042685040143,-0.0327060051256687,0.830036111955257,-0.757776728410277,-0.708575531504503,-0.631505330394417,-0.034194152036494,-0.0959943145188788,0.122175927043494,-1.10654037236139,-0.00364585729880771,-0.201809268659579,1.7016308053085,0.505956610860254,-0.112395626541057,1.69213570018328,-0.444797480646694,-1.17388185706418,-0.0114583350991317,-0.267360124841744,2.30822460817828,0.825816239147909,0.498255656033788,0.00710339214646684,-0.724028702594541
"A0A0A0MRD9",-0.621703011127309,-1.45891120376091,-0.212521252866174,-0.62281525434586,-0.436748964768903,-0.321816712512609,-0.111285677689527,1.06126239194243,0.148388817505407,-0.391480556297433,-0.382409373467609,-0.325081640701957,-0.489949132485854,0.00757942249496659,0.433269326922452,-0.121329879864229,-1.22565153180622,-1.85491565643209,1.15806405669758,-0.00469334317170454,-0.788381998790287,-0.329560436477514,0.373745269598702,-1.14048325236296,-0.334559887260038,-0.0176488645268906,0.0895209395125075,0.417192857815604,-0.559961639962987,-0.176600549695963,0.151936950006114,0.0811428182598941,-0.999569930203872,0.361215649475288,-1.10977442208405,-0.31366818984993,0.804954562556024,1.99149787803576,-1.0328580261945,1.16587486331529,0.538048051532743,0.0873057397003859,1.03375752278237,0.155915589300574,-1.41757239667395,0.113281033775452,0.0890871861750623,0.454058607204232,0.780909300955303,-1.0665485803514,-0.00383980418479167,0.373745269598702,-0.0445673550454777,2.74387361974568,-0.0438673096242779,4.26919973405855,-0.924051624379798
"A0A0A0MS07",-1.1043765209522,-1.07872253327526,0.798035207265174,1.20714340103464,-0.515136285002221,-0.144290990539313,-0.686549459571094,-0.711452060621265,-0.514496719894253,-0.474319103932063,-1.21626928351233,-1.31779817363332,-0.44188481404168,-0.426524641668399,-1.33981396001379,1.64943522381946,1.27179226991194,-0.538862386864223,0.068606943755052,-0.483954833543286,-1.37048879437942,1.02503538001394,-0.4514190294443,-0.213247430932497,-0.416011278330731,0.0556032598179956,-1.03684127947945,0.0722901900911476,0.714073905862349,1.61390883393678,0.163408929578885,-1.149687200662,-0.198350645444048,0.0364793835946724,0.189466554315382,-0.0318699259804346,0.185175525683363,0.08265092147639,-0.967860827474237,0.661137073024708,-0.919068859560515,-0.237048615616218,2.68612324109474,-0.0987075277486852,1.29052625991167,-0.179238705225541,1.21377956377472,0.1259751056322,-0.913708918653135,0.00539774784852692,-1.27082503879658,0.0445247627162335,0.0232293014295393,1.73557744037909,3.51065805632157,-0.0937985258458713,0.112589888348212
